Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
3,3,39.5,1,2,6097
3,3,39.5,1,0,3993
3,3,39.5,0,1,1859
3,3,39.5,0,3,985
3,3,39.5,0,2,1026
3,3,39.5,0,0,1064
3,3,49.5,1,1,19003
3,3,49.5,1,3,10972
3,3,49.5,1,2,4373
3,3,49.5,1,0,3499
3,3,49.5,0,1,1868
3,3,49.5,0,3,567
3,3,49.5,0,2,502
3,3,49.5,0,0,836
3,3,59.5,1,1,14802
3,3,59.5,1,3,6301
3,3,59.5,1,2,1823
3,3,59.5,1,0,2183
3,3,59.5,0,1,6637
3,3,59.5,0,3,1616
3,3,59.5,0,2,605
3,3,59.5,0,0,1526
3,4,29.5,1,1,12648
3,4,29.5,1,3,11199
3,4,29.5,1,2,3465
3,4,29.5,1,0,2260
3,4,29.5,0,1,2682
3,4,29.5,0,3,1506
3,4,29.5,0,2,1120
3,4,29.5,0,0,1100
3,4,39.5,1,1,16528
3,4,39.5,1,3,14202
3,4,39.5,1,2,4589
3,4,39.5,1,0,3270
3,4,39.5,0,1,2242
3,4,39.5,0,3,1195
3,4,39.5,0,2,951
3,4,39.5,0,0,933
3,4,49.5,1,1,18926
3,4,49.5,1,3,12576
3,4,49.5,1,2,3555
3,4,49.5,1,0,2819
3,4,49.5,0,1,1234
3,4,49.5,0,3,453
3,4,49.5,0,2,343
3,4,49.5,0,0,561
3,4,59.5,1,1,15181
3,4,59.5,1,3,7329
3,4,59.5,1,2,1537
3,4,59.5,1,0,1815
3,4,59.5,0,1,3829
3,4,59.5,0,3,1091
3,4,59.5,0,2,378
3,4,59.5,0,0,887
3,0,29.5,1,1,13
3,0,29.5,1,3,6
3,0,29.5,1,2,3
3,0,29.5,1,0,12
3,0,29.5,0,1,27
3,0,29.5,0,3,7
3,0,29.5,0,2,9
3,0,29.5,0,0,31
3,0,39.5,1,1,7
3,0,39.5,1,3,2
3,0,39.5,1,2,2
3,0,39.5,1,0,11
3,0,39.5,0,1,9
3,0,39.5,0,3,4
3,0,39.5,0,2,4
3,0,39.5,0,0,17
3,0,49.5,1,1,8
3,0,49.5,1,2,2
3,0,49.5,1,0,10
3,0,49.5,0,1,13
3,0,49.5,0,2,3
3,0,49.5,0,0,9
3,0,59.5,1,1,4
3,0,59.5,1,0,7
3,0,59.5,0,1,8
3,0,59.5,0,3,1
3,0,59.5,0,2,1
3,0,59.5,0,0,9
4,1,29.5,1,1,5668
4,1,29.5,1,3,1995
4,1,29.5,1,2,5355
4,1,29.5,1,0,6110
4,1,29.5,0,1,3070
4,1,29.5,0,3,851
4,1,29.5,0,2,2410
4,1,29.5,0,0,3983
4,1,39.5,1,1,7891
4,1,39.5,1,3,3019
4,1,39.5,1,2,5747
4,1,39.5,1,0,6091
4,1,39.5,0,1,2889
4,1,39.5,0,3,780
4,1,39.5,0,2,1773
4,1,39.5,0,0,2733
4,1,49.5,1,1,11619
4,1,49.5,1,3,3994
4,1,49.5,1,2,5025
4,1,49.5,1,0,6248
4,1,49.5,0,1,3981
4,1,49.5,0,3,903
4,1,49.5,0,2,1158
4,1,49.5,0,0,2442
4,1,59.5,1,1,10857
4,1,59.5,1,3,3196
4,1,59.5,1,2,2668
4,1,59.5,1,0,3830
4,1,59.5,0,1,14262
4,1,59.5,0,3,2678
4,1,59.5,0,2,2278
4,1,59.5,0,0,5237
4,2,29.5,1,1,22088
4,2,29.5,1,3,12216
4,2,29.5,1,2,22426
4,2,29.5,1,0,17286
4,2,29.5,0,1,3927
4,2,29.5,0,3,1643
4,2,29.5,0,2,4541
4,2,29.5,0,0,4422
4,2,39.5,1,1,27477
4,2,39.5,1,3,16047
4,2,39.5,1,2,22040
4,2,39.5,1,0,16923
4,2,39.5,0,1,3328
4,2,39.5,0,3,1235
4,2,39.5,0,2,2641
4,2,39.5,0,0,3035
4,2,49.5,1,1,44554
4,2,49.5,1,3,20437
4,2,49.5,1,2,18526
4,2,49.5,1,0,17741
4,2,49.5,0,1,5056
4,2,49.5,0,3,1108
4,2,49.5,0,2,1723
4,2,49.5,0,0,2812
4,2,59.5,1,1,42594
4,2,59.5,1,3,16142
4,2,59.5,1,2,9290
4,2,59.5,1,0,11851
4,2,59.5,0,1,32409
4,2,59.5,0,3,7256
4,2,59.5,0,2,4354
4,2,59.5,0,0,8406
4,3,29.5,1,1,9859
4,3,29.5,1,3,7049
4,3,29.5,1,2,6142
4,3,29.5,1,0,4403
4,3,29.5,0,1,2363
4,3,29.5,0,3,1156
4,3,29.5,0,2,1641
4,3,29.5,0,0,1636
4,3,39.5,1,1,9268
4,3,39.5,1,3,6642
4,3,39.5,1,2,5672
4,3,39.5,1,0,3949
4,3,39.5,0,1,1175
4,3,39.5,0,3,521
4,3,39.5,0,2,851
4,3,39.5,0,0,891
4,3,49.5,1,1,10638
4,3,49.5,1,3,5938
4,3,49.5,1,2,3646
4,3,49.5,1,0,3172
4,3,49.5,0,1,1054
4,3,49.5,0,3,267
4,3,49.5,0,2,282
4,3,49.5,0,0,561
4,3,59.5,1,1,9021
4,3,59.5,1,3,3585
4,3,59.5,1,2,1459
4,3,59.5,1,0,1920
4,3,59.5,0,1,4138
4,3,59.5,0,3,898
4,3,59.5,0,2,452
4,3,59.5,0,0,1042
4,4,29.5,1,1,11789
4,4,29.5,1,3,9550
4,4,29.5,1,2,4374
4,4,29.5,1,0,3099
4,4,29.5,0,1,2231
4,4,29.5,0,3,1228
4,4,29.5,0,2,1225
4,4,29.5,0,0,1359
4,4,39.5,1,1,13600
4,4,39.5,1,3,10977
4,4,39.5,1,2,5084
4,4,39.5,1,0,3682
4,4,39.5,0,1,1600
4,4,39.5,0,3,815
4,4,39.5,0,2,880
4,4,39.5,0,0,912
4,4,49.5,1,1,13124
4,4,49.5,1,3,8343
4,4,49.5,1,2,3213
4,4,49.5,1,0,2835
4,4,49.5,0,1,800
4,4,49.5,0,3,219
4,4,49.5,0,2,227
4,4,49.5,0,0,436
4,4,59.5,1,1,11352
4,4,59.5,1,3,5381
4,4,59.5,1,2,1333
4,4,59.5,1,0,1674
4,4,59.5,0,1,3173
4,4,59.5,0,3,861
4,4,59.5,0,2,306
4,4,59.5,0,0,688
4,0,29.5,1,1,15
4,0,29.5,1,3,3
4,0,29.5,1,2,8
4,0,29.5,1,0,22
4,0,29.5,0,1,31
4,0,29.5,0,3,5
4,0,29.5,0,2,17
4,0,29.5,0,0,36
4,0,39.5,1,1,7
4,0,39.5,1,3,4
4,0,39.5,1,2,12
4,0,39.5,1,0,13
4,0,39.5,0,1,19
4,0,39.5,0,3,3
4,0,39.5,0,2,6
4,0,39.5,0,0,23
4,0,49.5,1,1,6
4,0,49.5,1,3,2
4,0,49.5,1,2,3
4,0,49.5,1,0,6
4,0,49.5,0,1,7
4,0,49.5,0,2,6
4,0,49.5,0,0,20
4,0,59.5,1,0,5
4,0,59.5,0,1,5
4,0,59.5,0,3,1
4,0,59.5,0,2,4
4,0,59.5,0,0,15
5,1,29.5,1,1,2358
5,1,29.5,1,3,879
5,1,29.5,1,2,1804
5,1,29.5,1,0,2044
5,1,29.5,0,1,934
5,1,29.5,0,3,299
5,1,29.5,0,2,617
5,1,29.5,0,0,1007
5,1,39.5,1,1,3027
5,1,39.5,1,3,1304
5,1,39.5,1,2,1912
5,1,39.5,1,0,2038
5,1,39.5,0,1,926
5,1,39.5,0,3,270
5,1,39.5,0,2,477
5,1,39.5,0,0,794
5,1,49.5,1,1,4274
5,1,49.5,1,3,1483
5,1,49.5,1,2,1576
5,1,49.5,1,0,1874
5,1,49.5,0,1,1201
5,1,49.5,0,3,318
5,1,49.5,0,2,348
5,1,49.5,0,0,732
5,1,59.5,1,1,3489
5,1,59.5,1,3,950
5,1,59.5,1,2,777
5,1,59.5,1,0,1151
5,1,59.5,0,1,3784
5,1,59.5,0,3,741
5,1,59.5,0,2,553
5,1,59.5,0,0,1459
5,2,29.5,1,1,8030
5,2,29.5,1,3,4367
5,2,29.5,1,2,6880
5,2,29.5,1,0,5436
5,2,29.5,0,1,1331
5,2,29.5,0,3,548
5,2,29.5,0,2,1401
5,2,29.5,0,0,1357
5,2,39.5,1,1,10335
5,2,39.5,1,3,6003
5,2,39.5,1,2,7071
5,2,39.5,1,0,5648
5,2,39.5,0,1,1241
