C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-4;1404
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-1;1640
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-2;265
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-3;380
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-4;942
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-1;2587
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-2;590
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-3;520
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-4;921
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-1;4498
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-2;632
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-3;631
B00-2;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-4;1870
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-1;6997
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-2;2908
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-3;6148
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-4;5612
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-1;1604
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-2;437
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-3;1520
B00-2;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-4;1860
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-1;9946
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-2;4335
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-3;6474
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-4;6086
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-1;1822
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-2;438
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-3;1161
B00-2;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-4;1660
B00-2;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-1;17969
